date,quarter,moq,consumption_growth,retail_cum_growth,visa_headline
2020-08-01,2020-07-01,2,12.851176293246347,19.84932925083156,95.0433216359429
2020-09-01,2020-07-01,3,12.851176293246347,21.203310057199065,97.5607030355616
2020-10-01,2020-10-01,1,0.46780267565487144,2.597717304383651,97.9447806937629
2020-11-01,2020-10-01,2,0.46780267565487144,2.6149829161315363,99.5602337754207
2020-12-01,2020-10-01,3,0.46780267565487144,1.1310490222211422,86.9903007964224
2021-01-01,2021-01-01,1,0.5032322837385195,-5.362566268308022,87.0425935854827
2021-02-01,2021-01-01,2,0.5032322837385195,-2.394644622158326,94.462726581896
2021-03-01,2021-01-01,3,0.5032322837385195,0.32707341180699956,113.071389393881
2021-04-01,2021-04-01,1,-0.03948005021137124,-0.7630716320060182,136.195731055756
2021-05-01,2021-04-01,2,-0.03948005021137124,-2.1880093861393224,118.755234977837
2021-06-01,2021-04-01,3,-0.03948005021137124,-1.135651208196753,111.185677934114
2021-07-01,2021-07-01,1,5.393917506052159,2.5691663797945408,111.562442921562
2021-08-01,2021-07-01,2,5.393917506052159,3.1851865272770175,110.919329421169
2021-09-01,2021-07-01,3,5.393917506052159,3.12418845384983,111.076789025372
2021-10-01,2021-10-01,1,0.9967071112783499,0.2295727136431669,112.498041585057
2021-11-01,2021-10-01,2,0.9967071112783499,0.4158077211394273,112.571048380589
2021-12-01,2021-10-01,3,0.9967071112783499,-0.3010213643178439,113.512404217098
2022-01-01,2022-01-01,1,0.7669551624425175,-0.48285341698093287,110.920776280815
2022-02-01,2022-01-01,2,0.7669551624425175,-0.4661121488739317,110.838274607353
2022-03-01,2022-01-01,3,0.7669551624425175,-0.6267695814095475,107.25909242717
2022-04-01,2022-04-01,1,2.664949840488906,-0.9635221166748531,110.025654454107
2022-05-01,2022-04-01,2,2.664949840488906,-0.26659415620881033,110.934014635774
2022-06-01,2022-04-01,3,2.664949840488906,0.2654119204828165,109.525328311536
2022-07-01,2022-07-01,1,0.7013014435607978,-0.7675981605942739,104.590023312399
2022-08-01,2022-07-01,2,0.7013014435607978,-0.09108595684471643,105.082591515781
2022-09-01,2022-07-01,3,0.7013014435607978,0.08843296781040344,102.007881581573
2022-10-01,2022-10-01,1,0.5161043748787009,-0.019438063262056104,103.935111255372
2022-11-01,2022-10-01,2,0.5161043748787009,0.09895741297047955,98.5026948218004
2022-12-01,2022-10-01,3,0.5161043748787009,0.23266772692465132,101.717648672156
2023-01-01,2023-01-01,1,0.488007314561667,2.456439338289318,106.310714356013
2023-02-01,2023-01-01,2,0.488007314561667,1.97161578467957,101.700124561915
2023-03-01,2023-01-01,3,0.488007314561667,1.7876766667646038,97.232412335776
2023-04-01,2023-04-01,1,0.005300271418073876,-0.32504459981409495,99.4898234367124
2023-05-01,2023-04-01,2,0.005300271418073876,-0.17868792831697844,96.1764064813442
2023-06-01,2023-04-01,3,0.005300271418073876,-0.03290860069166124,96.6285897216555
2023-07-01,2023-07-01,1,0.20029547447060203,-0.531331215708919,98.2263390995014
2023-08-01,2023-07-01,2,0.20029547447060203,-0.6543459428241416,98.7831043946097
2023-09-01,2023-07-01,3,0.20029547447060203,-0.48801617095003413,99.4387099247278
2023-10-01,2023-10-01,1,0.7062078409419748,0.8130930617219478,98.384804141697
2023-11-01,2023-10-01,2,0.7062078409419748,0.9811090798293787,98.6230312959329
2023-12-01,2023-10-01,3,0.7062078409419748,0.9512202199587927,96.9201255944146
2024-01-01,2024-01-01,1,0.4856192648671209,-0.195465207193124,96.4775445075764
2024-02-01,2024-01-01,2,0.4856192648671209,-0.08249781538886003,96.4528145289953
2024-03-01,2024-01-01,3,0.4856192648671209,-0.15407257508164296,98.5125605218631
2024-04-01,2024-04-01,1,0.3766286940537933,0.20210046293096529,96.7400402509154
2024-05-01,2024-04-01,2,0.3766286940537933,-0.4188834381261608,97.7862455240916
2024-06-01,2024-04-01,3,0.3766286940537933,-0.5533291876828161,97.7707579548343
2024-07-01,2024-07-01,1,1.1474883414143155,1.0861824392785824,97.0157677383323
2024-08-01,2024-07-01,2,1.1474883414143155,1.3085140259965877,97.3254495214008
2024-09-01,2024-07-01,3,1.1474883414143155,1.6605390383000795,97.5815163259931
2024-10-01,2024-10-01,1,0.6504649855777922,0.9949710393375222,96.8960494162406
2024-11-01,2024-10-01,2,0.6504649855777922,0.8121515180854688,96.5342857286602
2024-12-01,2024-10-01,3,0.6504649855777922,1.4762249192689536,98.45500365501
2025-01-01,2025-01-01,1,0.21092115498690944,0.1958748421495793,99.5949558742095
2025-02-01,2025-01-01,2,0.21092115498690944,-0.050792759927031916,97.4907437380576
2025-03-01,2025-01-01,3,0.21092115498690944,0.2396520275010472,97.4780792068764
2025-04-01,2025-04-01,1,1.0262270630169823,1.2345886384250937,95.9880784172721
2025-05-01,2025-04-01,2,1.0262270630169823,0.534988409984205,96.8535654483483
2025-06-01,2025-04-01,3,1.0262270630169823,0.7463522244991694,97.5136412881919
2025-07-01,2025-07-01,1,-0.1076430796867589,-0.7741684497179602,97.0818784449975
2025-08-01,2025-07-01,2,-0.1076430796867589,-0.1514435768471989,97.9509556007937
2025-09-01,2025-07-01,3,-0.1076430796867589,-0.24620001667269298,98.8991979032992
